seed,best_avg_reward,final_avg_reward,tail_iqm_avg_reward,convergence_episode,total_episodes
42,499.44,429.3,449.25824281150153,,2500
43,497.95,275.53,182.0288817891374,,2500
44,480.35,247.25,320.65987220447283,,2500
45,456.14,456.14,260.45642172523964,,2500
46,365.03,309.85,210.0605431309904,,2500
47,469.08,421.93,391.86392971246005,,2500
48,500.0,384.86,393.72169329073483,,2500
49,490.12,363.59,374.288178913738,,2500
50,500.0,311.37,317.0093610223642,,2500
51,475.46,287.93,309.1914376996805,,2500
