timestep,membrane_potential
0,0.0899658203125
1,0.13037109375
2,0.15869140625
3,0.1810302734375
4,0.19970703125
5,0.2158203125
6,0.2301025390625
7,0.242919921875
8,0.254638671875
9,0.2652587890625
10,0.275146484375
11,0.284423828125
12,0.2930908203125
13,0.301025390625
14,0.30859375
15,0.31591796875
16,0.3228759765625
17,0.329345703125
18,0.3355712890625
19,0.341552734375
20,0.34716796875
21,0.3526611328125
22,0.3580322265625
23,0.363037109375
24,0.367919921875
25,0.37255859375
26,0.377197265625
27,0.381591796875
28,0.3858642578125
29,0.389892578125
30,0.39404296875
31,0.3978271484375
32,0.401611328125
33,0.4052734375
34,0.4088134765625
35,0.412353515625
36,0.415771484375
37,0.4190673828125
38,0.42236328125
39,0.4254150390625
40,0.428466796875
41,0.4315185546875
42,0.4344482421875
43,0.437255859375
44,0.440185546875
45,0.44287109375
46,0.445556640625
47,0.4481201171875
48,0.45068359375
49,0.4532470703125
50,0.36572265625
51,0.32763671875
52,0.3017578125
53,0.28173828125
54,0.265380859375
55,0.25146484375
56,0.2393798828125
57,0.228759765625
58,0.21923828125
59,0.210693359375
60,0.202880859375
61,0.195556640625
62,0.18896484375
63,0.182861328125
64,0.1771240234375
65,0.1717529296875
66,0.1668701171875
67,0.162109375
68,0.15771484375
69,0.153564453125
70,0.1495361328125
71,0.1458740234375
72,0.142333984375
73,0.138916015625
74,0.1357421875
75,0.1326904296875
76,0.129638671875
77,0.1268310546875
78,0.1241455078125
79,0.12158203125
80,0.119140625
81,0.11669921875
82,0.1143798828125
83,0.1121826171875
84,0.1099853515625
85,0.10791015625
86,0.10595703125
87,0.1041259765625
88,0.1021728515625
89,0.1004638671875
90,0.0987548828125
91,0.0970458984375
92,0.095458984375
93,0.0938720703125
94,0.09228515625
95,0.0909423828125
96,0.0894775390625
97,0.0880126953125
98,0.086669921875
99,0.08544921875
100,0.084228515625
101,0.0830078125
102,0.081787109375
103,0.08056640625
104,0.079345703125
105,0.0782470703125
106,0.0771484375
107,0.0760498046875
108,0.0750732421875
109,0.0740966796875
110,0.0731201171875
111,0.0721435546875
112,0.0712890625
113,0.0703125
114,0.0693359375
115,0.0684814453125
116,0.067626953125
117,0.06689453125
118,0.0660400390625
119,0.065185546875
120,0.064453125
121,0.0635986328125
122,0.0628662109375
123,0.0621337890625
124,0.0614013671875
125,0.0606689453125
126,0.06005859375
127,0.059326171875
128,0.0587158203125
129,0.05810546875
130,0.057373046875
131,0.0567626953125
132,0.05615234375
133,0.0555419921875
134,0.054931640625
135,0.054443359375
136,0.0538330078125
137,0.0533447265625
138,0.052734375
139,0.05224609375
140,0.0516357421875
141,0.0511474609375
142,0.0506591796875
143,0.0501708984375
144,0.0496826171875
145,0.0491943359375
146,0.0487060546875
147,0.0482177734375
148,0.0477294921875
149,0.0472412109375
150,0.046875
151,0.04638671875
152,0.0460205078125
153,0.0455322265625
154,0.0450439453125
155,0.044677734375
156,0.0443115234375
157,0.0438232421875
158,0.04345703125
159,0.0430908203125
160,0.042724609375
161,0.0423583984375
162,0.0419921875
163,0.0416259765625
164,0.041259765625
165,0.0408935546875
166,0.04052734375
167,0.040283203125
168,0.0399169921875
169,0.03955078125
170,0.039306640625
171,0.0389404296875
172,0.03857421875
173,0.038330078125
174,0.0379638671875
175,0.03759765625
176,0.0372314453125
177,0.0369873046875
178,0.0367431640625
179,0.036376953125
180,0.0361328125
181,0.035888671875
182,0.03564453125
183,0.0352783203125
184,0.0350341796875
185,0.0347900390625
186,0.0345458984375
187,0.0343017578125
188,0.033935546875
189,0.0338134765625
190,0.0335693359375
191,0.0333251953125
192,0.032958984375
193,0.0328369140625
194,0.0325927734375
195,0.0323486328125
196,0.0321044921875
197,0.0318603515625
198,0.03173828125
199,0.031494140625
